Test case (d)	Observed-1(i_t)	Observed-2(i_t)	Hidden state(q_t)	Coding	Regulatory	Hetero	Other
11	1	1	Other	2.58603e-05	0.00137508	0.848285	0.150314
11	3	2	Other	0.00151084	0.199294	0.149094	0.650102
12	1	4	Regulatory	1.00949e-05	0.901933	0.0611061	0.036951
12	1	3	Regulatory	0.00454778	0.95571	0.0200149	0.0197272
12	3	4	Regulatory	0.0467908	0.952175	2.89563e-05	0.00100564
12	4	3	Regulatory	0.918097	0.0817382	8.08549e-07	0.000163883
12	4	1	Coding	0.995671	0.000409822	5.76766e-05	0.00386182
12	4	1	Coding	0.971081	0.00022315	0.00106236	0.0276333
13	2	1	Other	2.98522e-05	0.000110157	0.255894	0.743966
13	1	1	Other	0.000142041	0.00304421	0.52428	0.472533
13	2	3	Other	0.000690597	0.279606	0.0518625	0.667841
13	1	2	Other	0.000413224	0.451156	0.126954	0.421476
13	1	4	Regulatory	0.000107179	0.7793	0.13535	0.0852432
13	1	4	Regulatory	0.000515152	0.820299	0.1215	0.0576867
13	1	2	Regulatory	0.0108097	0.815759	0.0884847	0.0849463
14	2	1	Other	4.56713e-05	5.19279e-05	0.0794791	0.920423
14	2	2	Other	0.000226399	0.00132617	0.0412376	0.95721
14	1	1	Regulatory	0.000155688	0.00492849	0.631162	0.363754
14	1	4	Regulatory	0.00025845	0.297132	0.436919	0.26569
14	1	2	Regulatory	0.0229692	0.316926	0.208124	0.451981
14	4	1	Regulatory	0.290987	0.106391	0.100238	0.502383
14	3	4	Regulatory	0.151585	0.668058	0.024643	0.155714
15	1	1	Hetero	6.06984e-06	3.22919e-05	0.830024	0.169938
15	1	1	Other	0.000401396	0.000693023	0.784735	0.214171
15	4	1	Other	0.0123862	0.0303479	0.256616	0.70065
15	3	2	Other	0.00631777	0.555435	0.0180854	0.420161
15	2	4	Other	0.00122475	0.783407	0.0109172	0.204451
15	1	2	Other	0.000861444	0.812769	0.0433898	0.14298
15	1	4	Hetero	0.00137887	0.869234	0.0714132	0.0579739
16	1	1	Hetero	1.1409e-06	8.57993e-08	0.901601	0.0983978
16	1	1	Hetero	1.79995e-06	3.41209e-08	0.958843	0.0411554
16	1	1	Hetero	8.7718e-07	5.71504e-08	0.966732	0.0332668
16	1	1	Hetero	1.16801e-06	2.72694e-07	0.954743	0.0452552
16	1	1	Hetero	4.16838e-06	9.95759e-06	0.87809	0.121895
16	1	3	Hetero	4.85698e-05	0.0011529	0.449776	0.549022
16	2	2	Other	0.000562808	0.00121136	0.112736	0.885489
16	1	1	Other	0.000620742	0.00163189	0.643307	0.35444
17	1	1	Hetero	1.16683e-06	9.88541e-08	0.900476	0.0995232
17	1	1	Hetero	2.03127e-06	1.44154e-07	0.956105	0.0438932
17	1	1	Hetero	1.52975e-06	1.19384e-05	0.955305	0.0446818
17	1	4	Hetero	9.21373e-06	0.00173768	0.893888	0.104365
17	1	1	Hetero	0.00128651	0.000586385	0.797297	0.20083
17	4	2	Other	0.00341558	3.55525e-05	0.152085	0.844463
17	1	1	Hetero	0.0001204	1.72698e-05	0.788038	0.211824
17	1	1	Hetero	9.14887e-05	0.000438329	0.872126	0.127344
18	2	1	Other	1.71431e-05	3.13753e-07	0.375351	0.624631
18	1	1	Hetero	1.29473e-05	1.05864e-07	0.852771	0.147216
18	1	1	Hetero	5.20775e-06	2.48422e-07	0.925509	0.0744856
18	1	1	Other	6.29956e-06	4.36903e-06	0.865292	0.134698
18	1	2	Other	2.33701e-05	0.000493713	0.446861	0.552622
18	2	1	Other	0.000770252	0.000274428	0.237626	0.76133
18	3	1	Other	0.00274515	0.00652247	0.271381	0.719352
18	1	3	Other	0.00228692	0.0793148	0.320798	0.5976
